TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;10,53;;-18,98;1,04;0,48;21,41;2,55;-6,71;49,86;72,39;22,54;0,47;1,27;21,50;-0,63;1,11;-5,46;-2,55;0,20;0,47;0,52;0,38;5,83;;16.376.976,09;10,15;-0,55;0,02;1.245.623.352,48
ABCB4;14,93;6,22;9,29;0,77;0,07;13,55;8,97;8,56;8,86;8,86;;;0,80;1,08;-0,08;2,00;8,28;0,75;;0,09;0,91;0,09;1,17;-2,60;12.320.616,36;19,43;1,61;-0,45;3.375.525.461,74
ABEV3;17,08;2,87;20,82;3,28;2,02;52,95;27,05;20,69;15,93;15,08;-0,85;-0,17;4,31;51,91;-2,79;1,16;15,74;9,68;17,16;0,61;0,37;0,47;4,56;-1,85;526.518.754,82;5,21;0,82;0,79;268.864.054.730,60
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;94.201,44;-1,21;-0,38;-0,58;25.439.770,20
AERI3;9,60;;61,48;7,43;2,65;10,82;8,71;4,61;32,54;34,56;2,87;0,66;2,83;6,23;-8,34;2,65;12,09;4,31;8,87;0,36;0,64;0,93;;;41.324.204,79;1,29;0,16;2,35;7.164.095.813,60
AESB3;14,78;1,15;;3,15;0,61;;;;;;;2,42;;10,71;-0,79;1,34;0,00;0,00;;0,19;0,81;0,00;;;11.943.626,33;4,69;0,00;;5.898.794.365,60
AFLT3;10,37;11,21;34,65;3,38;3,09;67,61;54,72;52,63;33,33;31,57;-1,76;-0,18;18,24;11,88;-4,31;13,16;9,76;8,93;9,29;0,92;0,08;0,17;5,56;8,17;25.718,48;3,07;0,30;-1,46;654.188.339,00
AGRO3;28,35;2,50;24,28;1,68;1,01;46,45;39,31;7,58;4,68;5,14;0,46;0,16;1,84;6,31;-1,77;1,61;6,90;4,18;22,82;0,61;0,39;0,55;13,49;-7,94;23.717.533,36;16,91;1,17;-0,75;2.902.388.176,80
AHEB3;28,90;;-5,25;-9,86;0,88;19,18;-17,42;-25,58;-7,71;-7,31;0,50;;1,34;-4,37;-1,12;0,52;-187,86;-16,72;127,90;-0,09;1,09;0,65;1,88;;15.489,67;-2,93;-5,51;-0,06;249.992.520,80
AHEB5;21,51;;-3,91;-7,34;0,65;19,18;-17,42;-25,58;-5,74;-7,31;0,50;;1,00;-3,25;-0,84;0,52;-187,86;-16,72;127,90;-0,09;1,09;0,65;1,88;;2.151,00;-2,93;-5,51;-0,05;249.992.520,80
