"","POS","DY","P/L","P/VP","MARGEM BRUTA","MARGEM EBIT","MARG. LIQUIDA","P/EBIT","EV/EBIT","DIVIDA LIQUIDA / EBIT","DIV. LIQ. / PATRI.","PSR","P/CAP. GIRO","P. AT CIR. LIQ.","ROE","ROA","ROIC","PATRIMONIO / ATIVOS","PASSIVOS / ATIVOS","GIRO ATIVOS"," VPA"," LPA"," PEG Ratio"," VALOR DE MERCADO","Fator 1","fator_ponderado 1","Fator 2","fator_ponderado 2","Fator 3","fator_ponderado 3","Fator 4","fator_ponderado 4","Fator 5","fator_ponderado 5","Fator 6","fator_ponderado 6","Fator 7","fator_ponderado 7","Fator 8","fator_ponderado 8","Fator 9","fator_ponderado 9","pontuacao","POS.1"
"ARZZ3",1,88,42832,710,4795,396,187,-20223,-20417,-194,-7,800,1804,-742,166,80144,181,48364,51636,42884,1376,23,-497,9.733,12.1717419861671,3.76388862487333,-3.83002220190819,1.63124480905278e-17,3.85221737337346,0.796685628993272,0.233126497122012,0.0354113107393578,-0.668511185252028,-3.06089396142607e-18,-0.0873924860457806,-0.00963913354101223,0.314760885032036,0.0306766512301338,0.422403509841387,0.0379003194927126,-0.110696048833298,-2.3374676244661e-19,4.6549234017878,1
"LCAM3",2,123,4933,343,2465,1401,704,-2477,-3193,-716,-99,347,2176,-150,696,2.3137,479,33252,66748,32884,865,60,-451,15.109,6.74910022202021,2.0870358230286,-3.94670589797213,-1.55106073241732e-17,3.74968055658226,0.775479762225498,0.899363323547101,0.136610958045836,-0.471766361041993,1.26828708123904e-18,-0.115964816305566,-0.0127905773254092,0.0246118634890765,0.00239867654553462,-0.127982356694276,-0.0114832668174674,0.231404315443898,3.12457406943937e-19,2.97725137570259,2
"BOAS3",3,63,13623,350,4497,1191,741,-8473,-6946,1527,63,1009,508,-649,257,1.925,303,74869,25131,25995,343,9,-320,6.358,6.39816744715508,1.97851627990065,-3.40627483978244,2.00710766828153e-17,2.64234804477556,0.546469866581717,0.681939961721669,0.103584912861592,-0.0425814658508399,-1.59421560490941e-19,0.695033173380979,0.0766601097735476,-0.0353400218803721,-0.00344424474972209,-0.235480775193794,-0.0211286042996842,0.0153551011653932,1.19258552268678e-20,2.6806583200681,3
"PEAB4",4,4990,180,151,3648,73971,49478,-120,-88,36,46,891,318,-248,8406,7591,8161,90,10,15,4418,3713,0,887.697,1.04476355841938,0.323074024875481,7.27701290959665,-2.40051079427429e-17,4.10110268957716,0.848158153897363,3.23918052558351,0.492023127136342,-0.234505955967772,-6.0934463120982e-19,0.63441245794331,0.0699738235961605,4.007118041502,0.390534429284701,2.64095050540617,0.236960313035561,0.820978432173696,-4.77034209074713e-19,2.36072387182561,4
"BRGE6",5,560,2830,77,-43140,27743,17209,-1756,1559,2910,128,4871,74,-79,272,111,212,41,40,1,1686,46,-86,735.96,-0.131273150590987,-0.0405938212313597,0.710127303502508,-5.5314484116498e-18,0.539013018964354,0.111474479352427,0.266102318651326,0.0404202525691189,1.61829095541416,-3.35139547165401e-18,2.4310075874961,0.268132969267102,6.43593335961784,0.627247197482257,0.801291917442398,0.0718962294830335,-1.97275072337279,-3.75425922541799e-18,1.07857730692258,5
"BSLI4",6,882,1876,417,7589,2624,1859,-1329,-1815,0,0,349,-153,-37,2222,166,0,7,93,9,569,127,67287,11.772,-0.347042927635736,-0.107316679005798,0.309925966525391,-1.33431315026207e-18,0.98435316874799,0.20357626462516,0.887577569368175,0.134820732530162,-0.132831351907453,5.45576007013443e-19,-0.688574756400421,-0.075947765422724,-3.27116974449905,-0.31880877878568,11.7432852309019,1.05367084263187,-3.27391935222503,1.35477715377219e-18,0.889994616572989,6
"DMVF3",7,0,-22051,55,3320,1,-21,-6.44825,-5.87102,57723,5,46,339,-46,-25,-14,-189,57,43,68,1636,-4,55,451.377,-0.863433103378512,-0.267000897639702,-0.714966240026721,2.99437411185572e-18,1.43593054190906,0.296967983914589,-0.0190548069020474,-0.00289437578575081,1.26331526133199,4.39294966686149e-19,5.3083952193889,0.585500341314881,6.76339683664933,0.659161845563386,-5.39974687612284,-0.484494392249911,-1.2799917350302,4.43641814439483e-18,0.787240505117492,7
"WEST3",8,0,-41012,246,4506,-873,-89,4173,2646,-1526,90,364,282,-1214,-60,-46,-1161,76,24,51,366,-2,22263,993.724,-1.15494874662126,-0.357146779373065,-0.765424456071594,-6.33955355899161e-18,1.45539433362884,0.3009933339003,0.897561597698165,0.136337280558757,0.49756366726514,4.53465772063122e-19,1.57260058519755,0.173453207858767,0.395883000835271,0.0385828269078806,5.32619945440521,0.477895321181562,-1.51605092334717,2.94330106999098e-18,0.770115191034202,8
"CSAB4",9,401,762,225,20675,1.70597,1.76243,-787,-895,0,0,13425,990,-129,2960,1363,0,46,54,1,2261,669,3,445.401,0.3970350737662,0.122775835991487,0.304826172457775,1.83859581972731e-18,-1.82883128670455,-0.378224659397884,1.1627374909754,0.176616811514488,-2.4041335039013,-1.38307060479252e-17,5.05951494537265,0.558049580894704,0.524109779009082,0.0510798312672418,2.23844829811019,0.200845645667461,0.651592234054019,-1.47880604813161e-19,0.731143045937498,9
"G2DI33",10,0,-2793,189,10000,12912,13491,2918,3652,733,-47,0,-388,-127,-675,-453,-437,67,33,-3,379,-26,0,730.694,-0.405691270817958,-0.125452606634079,0.330310514335115,1.20902553051915e-18,0.768093485205722,0.158851119258329,1.76103578826857,0.267496772316148,1.08768893234165,5.77460319111632e-18,1.08867215725806,0.12007732908176,0.954431302303684,0.0930190426326718,0.709341327873152,0.063645927009159,-0.0379669191419546,1.50265775858535e-19,0.57763758366399,10
